name,owner,url,createdAt,updatedAt,primaryLanguage,pullRequests,releases,totalIssues,closedIssues
awesome-shell,alebcay,https://github.com/alebcay/awesome-shell,2014-07-07T01:57:42Z,2026-03-06T01:38:35Z,None,307,0,64,23
og-aws,open-guides,https://github.com/open-guides/og-aws,2016-07-13T17:30:16Z,2026-03-06T01:00:14Z,Shell,498,0,228,88
gkd,gkd-kit,https://github.com/gkd-kit/gkd,2023-07-04T03:59:15Z,2026-03-06T01:48:53Z,Kotlin,9,64,736,726
date-fns,date-fns,https://github.com/date-fns/date-fns,2014-10-06T10:24:22Z,2026-03-05T12:00:09Z,TypeScript,1068,122,2038,1382
duckdb,duckdb,https://github.com/duckdb/duckdb,2018-06-26T15:04:45Z,2026-03-06T01:51:19Z,C++,9604,56,6589,6048
pytorch-image-models,huggingface,https://github.com/huggingface/pytorch-image-models,2019-02-02T05:51:12Z,2026-03-05T21:30:30Z,Python,523,75,1026,978
LLM101n,karpathy,https://github.com/karpathy/LLM101n,2024-05-27T00:23:38Z,2026-03-06T01:53:07Z,None,0,0,0,0
GPT_API_free,chatanywhere,https://github.com/chatanywhere/GPT_API_free,2023-04-23T12:42:08Z,2026-03-06T00:57:15Z,Python,1,0,419,365
Coursera-ML-AndrewNg-Notes,fengdu78,https://github.com/fengdu78/Coursera-ML-AndrewNg-Notes,2017-11-04T10:04:08Z,2026-03-05T12:40:15Z,HTML,14,0,69,15
react-bits,DavidHDev,https://github.com/DavidHDev/react-bits,2024-08-06T06:54:54Z,2026-03-06T00:48:55Z,JavaScript,155,0,477,471
typeorm,typeorm,https://github.com/typeorm/typeorm,2016-02-29T07:41:14Z,2026-03-05T22:33:26Z,TypeScript,2387,40,8557,8132
sheetjs,SheetJS,https://github.com/SheetJS/sheetjs,2012-12-03T19:25:52Z,2026-03-05T20:32:11Z,None,106,0,2386,2267
HanLP,hankcs,https://github.com/hankcs/HanLP,2014-10-09T06:36:16Z,2026-03-06T00:00:03Z,Python,79,62,1434,1426
slate,slatedocs,https://github.com/slatedocs/slate,2013-09-13T22:15:24Z,2026-03-05T18:22:15Z,None,298,28,609,559
955.WLB,formulahendry,https://github.com/formulahendry/955.WLB,2019-03-27T23:53:37Z,2026-03-05T08:06:38Z,None,18,0,263,81
headscale,juanfont,https://github.com/juanfont/headscale,2020-06-21T09:21:05Z,2026-03-05T23:35:57Z,Go,1232,132,1235,1158
lerna,lerna,https://github.com/lerna/lerna,2015-12-04T09:36:55Z,2026-03-05T09:41:55Z,TypeScript,1021,249,2693,2313
BettaFish,666ghj,https://github.com/666ghj/BettaFish,2024-07-01T13:11:38Z,2026-03-06T01:30:23Z,Python,105,6,391,374
OpenVoice,myshell-ai,https://github.com/myshell-ai/OpenVoice,2023-11-29T12:17:01Z,2026-03-06T01:25:54Z,Python,18,0,348,73
hello-algorithm,geekxh,https://github.com/geekxh/hello-algorithm,2020-05-29T05:47:09Z,2026-03-05T15:11:37Z,Java,26,0,44,33
DragGAN,XingangPan,https://github.com/XingangPan/DragGAN,2023-05-18T10:08:02Z,2026-03-05T08:37:01Z,Python,18,0,192,46
carbon,carbon-app,https://github.com/carbon-app/carbon,2017-06-16T02:50:28Z,2026-03-05T16:50:47Z,JavaScript,669,215,690,627
aseprite,aseprite,https://github.com/aseprite/aseprite,2014-08-19T23:44:50Z,2026-03-06T00:37:37Z,C++,482,123,4482,2640
manifesto,opentofu,https://github.com/opentofu/manifesto,2023-08-13T16:17:24Z,2026-03-06T01:45:39Z,HTML,765,0,26,14
servo,servo,https://github.com/servo/servo,2012-02-08T19:07:25Z,2026-03-06T01:34:24Z,Rust,23073,5,15219,12335
qBittorrent,qbittorrent,https://github.com/qbittorrent/qBittorrent,2012-02-04T09:37:46Z,2026-03-05T23:48:28Z,C++,4120,0,17275,14820
awesome-deepseek-integration,deepseek-ai,https://github.com/deepseek-ai/awesome-deepseek-integration,2024-01-11T02:43:17Z,2026-03-06T00:06:42Z,None,289,0,156,154
ShareX,ShareX,https://github.com/ShareX/ShareX,2013-10-08T23:32:10Z,2026-03-06T01:19:50Z,C#,774,85,7177,6611
AgentGPT,reworkd,https://github.com/reworkd/AgentGPT,2023-04-07T02:29:19Z,2026-03-06T01:19:15Z,TypeScript,541,12,469,337
fastify,fastify,https://github.com/fastify/fastify,2016-09-28T19:10:14Z,2026-03-05T22:37:24Z,JavaScript,3263,308,2146,2070
koa,koajs,https://github.com/koajs/koa,2013-07-20T18:53:45Z,2026-03-05T14:03:56Z,JavaScript,541,16,932,914
leetcode,doocs,https://github.com/doocs/leetcode,2018-09-16T14:03:03Z,2026-03-05T23:49:13Z,Java,4462,21,58,58
mattermost,mattermost,https://github.com/mattermost/mattermost,2015-06-15T06:50:02Z,2026-03-06T01:53:07Z,TypeScript,20535,936,9194,8657
ruoyi-vue-pro,YunaiV,https://github.com/YunaiV/ruoyi-vue-pro,2021-01-24T03:18:25Z,2026-03-05T22:23:45Z,Java,73,54,742,739
awesome-react-native,jondot,https://github.com/jondot/awesome-react-native,2015-03-26T19:58:06Z,2026-03-05T14:25:13Z,JavaScript,912,0,75,37
linux-command,jaywcjlove,https://github.com/jaywcjlove/linux-command,2016-11-12T15:44:26Z,2026-03-05T13:20:23Z,Markdown,370,32,209,133
Xray-core,XTLS,https://github.com/XTLS/Xray-core,2020-11-09T11:23:10Z,2026-03-06T01:18:02Z,Go,1205,106,2778,2753
awesome-docker,veggiemonk,https://github.com/veggiemonk/awesome-docker,2014-09-21T17:01:48Z,2026-03-06T01:50:49Z,Makefile,991,1,142,136
lottie-android,airbnb,https://github.com/airbnb/lottie-android,2016-10-06T22:42:42Z,2026-03-05T22:52:33Z,Java,720,63,1800,1752
vim-plug,junegunn,https://github.com/junegunn/vim-plug,2013-09-10T14:58:51Z,2026-03-05T22:47:20Z,Vim Script,179,8,1041,972
