name,owner,url,stargazers,createdAt,updatedAt,primaryLanguage,pullRequests,releases,totalIssues,closedIssues
dspy,stanfordnlp,https://github.com/stanfordnlp/dspy,32572,2023-01-09T21:01:51Z,2026-03-06T01:09:36Z,Python,1469,106,1512,1235
netron,lutzroeder,https://github.com/lutzroeder/netron,32526,2010-12-26T12:53:43Z,2026-03-05T23:26:03Z,JavaScript,1,4,1253,1236
restic,restic,https://github.com/restic/restic,32521,2014-04-27T14:07:58Z,2026-03-06T01:34:53Z,Go,2318,49,2915,2469
goose,block,https://github.com/block/goose,32480,2024-08-23T19:03:36Z,2026-03-06T01:57:47Z,Rust,4287,122,1807,1513
remix,remix-run,https://github.com/remix-run/remix,32472,2020-10-26T19:57:28Z,2026-03-06T01:37:22Z,TypeScript,3662,357,2694,2659
floating-ui,floating-ui,https://github.com/floating-ui/floating-ui,32468,2016-03-29T17:00:47Z,2026-03-05T18:23:09Z,TypeScript,1209,506,1477,1443
yew,yewstack,https://github.com/yewstack/yew,32454,2017-12-16T14:19:02Z,2026-03-06T01:29:28Z,Rust,1879,38,1268,1172
mmdetection,open-mmlab,https://github.com/open-mmlab/mmdetection,32438,2018-08-22T07:06:06Z,2026-03-05T21:30:32Z,Python,2358,53,8523,6753
beego,beego,https://github.com/beego/beego,32426,2012-02-29T02:32:08Z,2026-03-05T11:16:43Z,Go,1326,42,3381,3379
awesome-php,ziadoz,https://github.com/ziadoz/awesome-php,32403,2013-11-26T03:14:19Z,2026-03-06T00:06:47Z,None,457,0,155,153
cursor,cursor,https://github.com/cursor/cursor,32379,2023-03-12T00:19:42Z,2026-03-06T00:37:13Z,None,47,0,0,0
glance,glanceapp,https://github.com/glanceapp/glance,32375,2024-04-27T18:55:38Z,2026-03-06T02:02:19Z,Go,110,33,506,293
k3s,k3s-io,https://github.com/k3s-io/k3s,32356,2018-05-31T01:37:46Z,2026-03-05T22:23:29Z,Go,4461,957,7379,7279
swr,vercel,https://github.com/vercel/swr,32328,2019-10-28T18:16:01Z,2026-03-06T01:00:51Z,TypeScript,816,126,973,831
my-tv,lizongying,https://github.com/lizongying/my-tv,32249,2023-12-04T12:18:39Z,2026-03-06T00:00:05Z,C,11,72,921,777
medusa,medusajs,https://github.com/medusajs/medusa,32232,2020-01-18T13:39:04Z,2026-03-05T23:52:11Z,TypeScript,8409,146,3660,3591
material-design-lite,google,https://github.com/google/material-design-lite,32216,2015-01-14T22:01:33Z,2026-03-05T20:32:07Z,HTML,655,14,2204,1814
linux-insides,0xAX,https://github.com/0xAX/linux-insides,32214,2015-01-03T18:44:57Z,2026-03-05T20:32:01Z,Python,619,0,191,168
echo,labstack,https://github.com/labstack/echo,32210,2015-03-01T17:43:01Z,2026-03-05T17:28:25Z,Go,629,116,1489,1441
pytorch-tutorial,yunjey,https://github.com/yunjey/pytorch-tutorial,32209,2017-03-10T07:41:47Z,2026-03-06T02:10:49Z,Python,28,0,180,114
web-check,Lissy93,https://github.com/Lissy93/web-check,32203,2023-06-25T14:32:11Z,2026-03-06T02:00:57Z,TypeScript,53,1,136,65
marker,datalab-to,https://github.com/datalab-to/marker,32190,2023-10-30T20:14:08Z,2026-03-06T01:09:55Z,Python,228,71,650,324
fairseq,facebookresearch,https://github.com/facebookresearch/fairseq,32179,2017-08-29T16:26:12Z,2026-03-06T00:57:54Z,Python,236,16,4260,3060
run,The-Run-Philosophy-Organization,https://github.com/The-Run-Philosophy-Organization/run,32144,2022-04-10T05:42:40Z,2026-03-05T16:53:29Z,None,172,0,261,216
linera-protocol,linera-io,https://github.com/linera-io/linera-protocol,32135,2021-12-19T04:09:21Z,2026-03-06T00:53:22Z,Rust,3548,31,1444,903
kafka,apache,https://github.com/apache/kafka,32111,2011-08-15T18:06:16Z,2026-03-06T00:17:21Z,Java,12775,0,0,0
erpnext,frappe,https://github.com/frappe/erpnext,32086,2011-06-08T08:20:56Z,2026-03-06T01:52:03Z,Python,28711,1000,17753,15805
PDFMathTranslate,PDFMathTranslate,https://github.com/PDFMathTranslate/PDFMathTranslate,32048,2024-09-06T06:56:03Z,2026-03-06T00:53:34Z,Python,136,24,857,732
500-AI-Machine-learning-Deep-learning-Computer-vision-NLP-Projects-with-code,ashishpatel26,https://github.com/ashishpatel26/500-AI-Machine-learning-Deep-learning-Computer-vision-NLP-Projects-with-code,32040,2021-01-02T12:08:37Z,2026-03-06T00:23:22Z,None,3,0,74,26
cockroach,cockroachdb,https://github.com/cockroachdb/cockroach,31995,2014-02-06T00:18:47Z,2026-03-06T02:15:36Z,Go,72807,0,82373,75731
sharp,lovell,https://github.com/lovell/sharp,31980,2013-08-19T20:24:24Z,2026-03-06T00:18:29Z,JavaScript,311,107,4030,3912
